sample_id,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Mitochondrion
P41019081706707,1.1208829774980806e-05,9.353575191535711e-06,9.469528603001028e-05,1.6491151852845333e-05,7.343716059470186e-06,2.253361296142694e-05,6.763949002143592e-05,4.638136458612748e-06,6.957204687919122e-06,0.00036100162102869235
P41019081706739,4.8263435007214713e-05,6.417315282017112e-06,5.768756822664319e-05,5.0291726146304324e-05,0.0003945966205325416,2.6078876997133372e-05,2.7990417719436347e-05,1.3653862302164067e-05,5.393275609354807e-05,0.002213973772295904
P41019081706743,0.00011041039918928438,4.4566706473314114e-05,0.0004809751948616472,0.00020034094576618905,4.080050592627349e-05,0.00021961656939930674,0.00032405017206828745,0.000147509521425758,0.002827004285622373,0.002246381701286942
P41019081706745,6.685044026929667e-06,2.4044150121549503e-06,8.288904384007857e-05,1.5396692621693983e-05,2.024770536551537e-05,1.0376948999826629e-05,3.859718835301368e-05,1.8982223780170662e-06,2.9738817255600707e-05,0.002448706867642016
P41019081706746,2.3869817113208755e-05,1.3790725736941907e-05,0.00013266078562166944,7.744791627630419e-05,0.0002675700591352316,4.886713685046806e-05,8.769102778381538e-05,2.023639102703432e-05,7.420010043245917e-05,0.00037025100619833166
P41019081706759,5.199525327516571e-05,6.831428636192034e-05,0.0006155320424486529,0.00034834554105983025,0.0003400081758287797,0.00025739009724233834,0.0003290653839630259,3.517325956849445e-05,0.00046037888635207176,0.002140879065735696
P41019081706782,1.150243364640768e-05,3.7208997730995316e-06,4.837169705029392e-06,4.961199697466042e-06,1.1906879273918502e-05,3.5720637821755503e-06,4.0929897504094844e-06,1.4883599092398128e-06,4.465079727719438e-06,0.0005462280866910113
P41019081706783,2.8699118053723963e-05,8.307432804607375e-06,3.4313309410334805e-05,4.153716402303687e-05,1.3845721341012293e-05,1.878202199302537e-05,3.9129212485469525e-05,3.912921248546952e-05,4.6353067098171584e-05,0.0012027717930148938
P41019081706785,3.1829348294268375e-05,4.098334308361888e-06,6.689928062178964e-05,1.2857519398782394e-05,5.826063477573272e-05,2.499180333138328e-05,3.395188716240976e-05,2.0089874060597493e-06,1.7679089173325792e-05,0.0014131217414224276
P41019081706790,3.9330040974422055e-05,3.3785298598431485e-05,0.0008649662094876208,0.00019760228655564093,0.00011991695490184016,9.165826379018912e-05,0.0007281044674800859,9.906183231021576e-06,7.716395358901018e-05,0.0012090757322494232
P41019081706814,1.389913867801923e-05,7.812957790495536e-06,4.4924507295349336e-05,1.5625915580991073e-05,3.906478895247768e-06,5.4690704533468745e-06,5.273746508584488e-05,1.4323755949241818e-05,9.115117422244793e-06,0.00032553990793731405
P41019081706836,1.4038434627403934e-05,1.096263966659872e-05,0.00011176753722586975,2.5408201310606417e-05,1.02774746874363e-05,1.9441556283733672e-05,6.937295414019503e-05,1.02774746874363e-05,2.826305539044983e-05,0.00021582696843616236
P41019091104671,2.6274462914688633e-05,4.118136897405238e-06,9.241865362781525e-05,7.661650041684165e-06,1.4844446955763067e-05,1.4557135079199912e-05,2.6097495454486683e-05,1.0534768807315727e-05,3.3519718932368216e-05,0.0002351168856541828
P41019091104677,2.7657189083330593e-05,1.1415403326469867e-05,4.294111998975815e-05,7.112400826460976e-06,1.7603192045490913e-05,1.71231049897048e-05,9.281683078531573e-05,1.0135171177706889e-05,3.307266384304353e-05,0.0003141903065089136
P41019091104727,3.9034474945212146e-05,4.010348609101295e-06,0.00040008001600320064,4.5355133079121794e-05,9.071026615824358e-06,6.063265158998387e-05,0.00016494945767196398,2.3871122673222e-06,0.0008770250470141762,0.0003652281769002965
P41019091104730,3.154936168222776e-05,7.150421023599793e-05,0.00017213976538295802,2.9761893502108495e-05,0.00176831046901087,7.54010005292825e-05,8.361074318600817e-05,1.967311604376663e-05,7.188253939068576e-06,0.00014036011638918116
P41019091104731,4.427887893186889e-06,2.058268730138243e-06,4.438141949360586e-05,7.575572409536588e-06,1.2006567592473085e-05,1.4193478118244965e-05,1.4579403505145885e-05,4.2880598544546726e-07,1.7152239417818688e-05,0.00032632135492400064
